Country,Year,Total Population,projection,totalPop
European Total,1950,  549 329,0,549 329
European Total,1951,  554 325,0,554 325
European Total,1952,  559 694,0,559 694
European Total,1953,  565 282,0,565 282
European Total,1954,  570 970,0,570 970
European Total,1955,  576 679,0,576 679
European Total,1956,  582 371,0,582 371
European Total,1957,  588 048,0,588 048
European Total,1958,  593 743,0,593 743
European Total,1959,  599 513,0,599 513
European Total,1960,  605 407,0,605 407
European Total,1961,  611 434,0,611 434
European Total,1962,  617 536,0,617 536
European Total,1963,  623 575,0,623 575
European Total,1964,  629 367,0,629 367
European Total,1965,  634 783,0,634 783
European Total,1966,  639 762,0,639 762
European Total,1967,  644 345,0,644 345
European Total,1968,  648 636,0,648 636
European Total,1969,  652 790,0,652 790
European Total,1970,  656 919,0,656 919
European Total,1971,  661 056,0,661 056
European Total,1972,  665 164,0,665 164
European Total,1973,  669 208,0,669 208
European Total,1974,  673 132,0,673 132
European Total,1975,  676 895,0,676 895
European Total,1976,  680 498,0,680 498
European Total,1977,  683 960,0,683 960
European Total,1978,  687 286,0,687 286
European Total,1979,  690 485,0,690 485
European Total,1980,  693 567,0,693 567
European Total,1981,  696 513,0,696 513
European Total,1982,  699 330,0,699 330
European Total,1983,  702 070,0,702 070
European Total,1984,  704 807,0,704 807
European Total,1985,  707 584,0,707 584
European Total,1986,  710 422,0,710 422
European Total,1987,  713 279,0,713 279
European Total,1988,  716 057,0,716 057
European Total,1989,  718 617,0,718 617
European Total,1990,  720 858,0,720 858
European Total,1991,  722 776,0,722 776
European Total,1992,  724 390,0,724 390
European Total,1993,  725 657,0,725 657
European Total,1994,  726 529,0,726 529
European Total,1995,  726 994,0,726 994
European Total,1996,  727 020,0,727 020
European Total,1997,  726 669,0,726 669
European Total,1998,  726 142,0,726 142
European Total,1999,  725 705,0,725 705
European Total,2000,  725 558,0,725 558
European Total,2001,  725 772,0,725 772
European Total,2002,  726 312,0,726 312
European Total,2003,  727 134,0,727 134
European Total,2004,  728 150,0,728 150
European Total,2005,  729 288,0,729 288
European Total,2006,  730 547,0,730 547
European Total,2007,  731 939,0,731 939
European Total,2008,  733 416,0,733 416
European Total,2009,  734 923,0,734 923
European Total,2010,  736 413,0,736 413
European Total,2011,  737 851,0,737 851
European Total,2012,  739 225,0,739 225
European Total,2013,  740 542,0,740 542
European Total,2014,  741 818,0,741 818
European Total,2015,  743 059,0,743 059
European Total,2016,  744 269,0,744 269
European Total,2017,  745 415,0,745 415
European Total,2018,  746 419,0,746 419
European Total,2019,  747 183,0,747 183
European Total,2020,  747 636,0,747 636
Austria,1950,  6 936,0,6 936
Austria,1951,  6 931,0,6 931
Austria,1952,  6 931,0,6 931
Austria,1953,  6 935,0,6 935
Austria,1954,  6 943,0,6 943
Austria,1955,  6 953,0,6 953
Austria,1956,  6 968,0,6 968
Austria,1957,  6 986,0,6 986
Austria,1958,  7 008,0,7 008
Austria,1959,  7 037,0,7 037
Austria,1960,  7 071,0,7 071
Austria,1961,  7 111,0,7 111
Austria,1962,  7 157,0,7 157
Austria,1963,  7 206,0,7 206
Austria,1964,  7 256,0,7 256
Austria,1965,  7 305,0,7 305
Austria,1966,  7 352,0,7 352
Austria,1967,  7 397,0,7 397
Austria,1968,  7 440,0,7 440
Austria,1969,  7 479,0,7 479
Austria,1970,  7 516,0,7 516
Austria,1971,  7 550,0,7 550
Austria,1972,  7 581,0,7 581
Austria,1973,  7 607,0,7 607
Austria,1974,  7 626,0,7 626
Austria,1975,  7 638,0,7 638
Austria,1976,  7 641,0,7 641
Austria,1977,  7 637,0,7 637
Austria,1978,  7 628,0,7 628
Austria,1979,  7 618,0,7 618
Austria,1980,  7 610,0,7 610
Austria,1981,  7 605,0,7 605
Austria,1982,  7 602,0,7 602
Austria,1983,  7 603,0,7 603
Austria,1984,  7 607,0,7 607
Austria,1985,  7 615,0,7 615
Austria,1986,  7 625,0,7 625
Austria,1987,  7 639,0,7 639
Austria,1988,  7 659,0,7 659
Austria,1989,  7 687,0,7 687
Austria,1990,  7 724,0,7 724
Austria,1991,  7 773,0,7 773
Austria,1992,  7 831,0,7 831
Austria,1993,  7 892,0,7 892
Austria,1994,  7 947,0,7 947
Austria,1995,  7 990,0,7 990
Austria,1996,  8 018,0,8 018
Austria,1997,  8 033,0,8 033
Austria,1998,  8 041,0,8 041
Austria,1999,  8 051,0,8 051
Austria,2000,  8 069,0,8 069
Austria,2001,  8 098,0,8 098
Austria,2002,  8 134,0,8 134
Austria,2003,  8 176,0,8 176
Austria,2004,  8 217,0,8 217
Austria,2005,  8 254,0,8 254
Austria,2006,  8 285,0,8 285
Austria,2007,  8 314,0,8 314
Austria,2008,  8 342,0,8 342
Austria,2009,  8 373,0,8 373
Austria,2010,  8 410,0,8 410
Austria,2011,  8 454,0,8 454
Austria,2012,  8 502,0,8 502
Austria,2013,  8 556,0,8 556
Austria,2014,  8 615,0,8 615
Austria,2015,  8 679,0,8 679
Austria,2016,  8 747,0,8 747
Austria,2017,  8 820,0,8 820
Austria,2018,  8 891,0,8 891
Austria,2019,  8 955,0,8 955
Austria,2020,  9 006,0,9 006
Belgium,1950,  8 638,0,8 638
Belgium,1951,  8 680,0,8 680
Belgium,1952,  8 728,0,8 728
Belgium,1953,  8 779,0,8 779
Belgium,1954,  8 833,0,8 833
Belgium,1955,  8 887,0,8 887
Belgium,1956,  8 942,0,8 942
Belgium,1957,  8 998,0,8 998
Belgium,1958,  9 054,0,9 054
Belgium,1959,  9 110,0,9 110
Belgium,1960,  9 167,0,9 167
Belgium,1961,  9 225,0,9 225
Belgium,1962,  9 284,0,9 284
Belgium,1963,  9 340,0,9 340
Belgium,1964,  9 394,0,9 394
Belgium,1965,  9 444,0,9 444
Belgium,1966,  9 489,0,9 489
Belgium,1967,  9 529,0,9 529
Belgium,1968,  9 566,0,9 566
Belgium,1969,  9 600,0,9 600
Belgium,1970,  9 632,0,9 632
Belgium,1971,  9 663,0,9 663
Belgium,1972,  9 693,0,9 693
Belgium,1973,  9 721,0,9 721
Belgium,1974,  9 747,0,9 747
Belgium,1975,  9 772,0,9 772
Belgium,1976,  9 795,0,9 795
Belgium,1977,  9 817,0,9 817
Belgium,1978,  9 837,0,9 837
Belgium,1979,  9 854,0,9 854
Belgium,1980,  9 869,0,9 869
Belgium,1981,  9 881,0,9 881
Belgium,1982,  9 890,0,9 890
Belgium,1983,  9 898,0,9 898
Belgium,1984,  9 906,0,9 906
Belgium,1985,  9 917,0,9 917
Belgium,1986,  9 929,0,9 929
Belgium,1987,  9 942,0,9 942
Belgium,1988,  9 959,0,9 959
Belgium,1989,  9 980,0,9 980
Belgium,1990,  10 007,0,10 007
Belgium,1991,  10 039,0,10 039
Belgium,1992,  10 078,0,10 078
Belgium,1993,  10 119,0,10 119
Belgium,1994,  10 156,0,10 156
Belgium,1995,  10 186,0,10 186
Belgium,1996,  10 208,0,10 208
Belgium,1997,  10 224,0,10 224
Belgium,1998,  10 237,0,10 237
Belgium,1999,  10 255,0,10 255
Belgium,2000,  10 282,0,10 282
Belgium,2001,  10 319,0,10 319
Belgium,2002,  10 365,0,10 365
Belgium,2003,  10 419,0,10 419
Belgium,2004,  10 480,0,10 480
Belgium,2005,  10 547,0,10 547
Belgium,2006,  10 619,0,10 619
Belgium,2007,  10 698,0,10 698
Belgium,2008,  10 779,0,10 779
Belgium,2009,  10 860,0,10 860
Belgium,2010,  10 939,0,10 939
Belgium,2011,  11 014,0,11 014
Belgium,2012,  11 085,0,11 085
Belgium,2013,  11 154,0,11 154
Belgium,2014,  11 221,0,11 221
Belgium,2015,  11 288,0,11 288
Belgium,2016,  11 354,0,11 354
Belgium,2017,  11 420,0,11 420
Belgium,2018,  11 482,0,11 482
Belgium,2019,  11 539,0,11 539
Belgium,2020,  11 590,0,11 590
Denmark,1950,  4 268,0,4 268
Denmark,1951,  4 309,0,4 309
Denmark,1952,  4 346,0,4 346
Denmark,1953,  4 380,0,4 380
Denmark,1954,  4 412,0,4 412
